barcode,product_name,front_image,ingredients_image,nutrition_image,packaging_image
8850389100684,"Mogu litchi","https://images.openfoodfacts.org/images/products/885/038/910/0684/front_es.15.full.jpg;https://images.openfoodfacts.org/images/products/885/038/910/0684/front_en.111.full.jpg;https://images.openfoodfacts.org/images/products/885/038/910/0684/front_fr.56.full.jpg","https://images.openfoodfacts.org/images/products/885/038/910/0684/ingredients_en.83.full.jpg;https://images.openfoodfacts.org/images/products/885/038/910/0684/ingredients_es.16.full.jpg;https://images.openfoodfacts.org/images/products/885/038/910/0684/ingredients_fr.38.full.jpg","https://images.openfoodfacts.org/images/products/885/038/910/0684/nutrition_es.17.full.jpg;https://images.openfoodfacts.org/images/products/885/038/910/0684/nutrition_fr.71.full.jpg","https://images.openfoodfacts.org/images/products/885/038/910/0684/packaging_en.50.full.jpg;https://images.openfoodfacts.org/images/products/885/038/910/0684/packaging_fr.61.full.jpg"
8901030421501,"Cassatta","https://images.openfoodfacts.org/images/products/890/103/042/1501/front_en.7.full.jpg","https://images.openfoodfacts.org/images/products/890/103/042/1501/ingredients_en.4.full.jpg","https://images.openfoodfacts.org/images/products/890/103/042/1501/nutrition_en.10.full.jpg",""
8901030515293,"Green Tea- Honey Lemon","https://images.openfoodfacts.org/images/products/890/103/051/5293/front_hi.3.full.jpg","","",""
8901030518232,"Cup-a-Soup Sweet Corn Veg","https://images.openfoodfacts.org/images/products/890/103/051/8232/front_en.18.full.jpg;https://images.openfoodfacts.org/images/products/890/103/051/8232/front.10.full.jpg","https://images.openfoodfacts.org/images/products/890/103/051/8232/ingredients.11.full.jpg;https://images.openfoodfacts.org/images/products/890/103/051/8232/ingredients_en.23.full.jpg","https://images.openfoodfacts.org/images/products/890/103/051/8232/nutrition_en.25.full.jpg;https://images.openfoodfacts.org/images/products/890/103/051/8232/nutrition.12.full.jpg",""
8901030534898,"Kissan Fresh Tomato Ketchup","https://images.openfoodfacts.org/images/products/890/103/053/4898/front_en.5.full.jpg;https://images.openfoodfacts.org/images/products/890/103/053/4898/front.5.full.jpg","","https://images.openfoodfacts.org/images/products/890/103/053/4898/nutrition.4.full.jpg;https://images.openfoodfacts.org/images/products/890/103/053/4898/nutrition_en.4.full.jpg",""
8901030535048,"Kissan Mix Fruit Jam","https://images.openfoodfacts.org/images/products/890/103/053/5048/front_hi.3.full.jpg;https://images.openfoodfacts.org/images/products/890/103/053/5048/front_en.37.full.jpg","https://images.openfoodfacts.org/images/products/890/103/053/5048/ingredients_en.39.full.jpg","https://images.openfoodfacts.org/images/products/890/103/053/5048/nutrition_en.35.full.jpg",""
8901030553134,"Lipton Green tea","https://images.openfoodfacts.org/images/products/890/103/055/3134/front_en.6.full.jpg","https://images.openfoodfacts.org/images/products/890/103/055/3134/ingredients_en.7.full.jpg","",""
8901030625381,"bru coffee","https://images.openfoodfacts.org/images/products/890/103/062/5381/front_en.6.full.jpg","https://images.openfoodfacts.org/images/products/890/103/062/5381/ingredients_en.3.full.jpg","",""
8901030691508,"Sandwich Chocolate and Vanilla","https://images.openfoodfacts.org/images/products/890/103/069/1508/front_en.6.full.jpg","https://images.openfoodfacts.org/images/products/890/103/069/1508/ingredients_en.4.full.jpg","https://images.openfoodfacts.org/images/products/890/103/069/1508/nutrition_en.9.full.jpg",""
8901042954516,"Rava idli","https://images.openfoodfacts.org/images/products/890/104/295/4516/front_en.68.full.jpg","https://images.openfoodfacts.org/images/products/890/104/295/4516/ingredients_en.13.full.jpg","https://images.openfoodfacts.org/images/products/890/104/295/4516/nutrition_en.23.full.jpg",""
